work_id,conference_label,conference_theme_title,conference_year,conference_organizers,conference_hosting_institutions,conference_city,conference_country,conference_url,work_title,work_authors,work_type,full_text_type,full_text_license,keywords,languages,topics
2824,2016 - Kraków,Digital Identities: the Past and the Future,2016-01-01T00:00:00Z,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,Poland,https://dh2016.adho.org/,"Biographical Data Workshop: modeling, sharing and analyzing people's lives",Antske Fokkens;Eveline Wandl-Vogt;Thierry Declerck;Serge ter Braake;Eero Hyvönen;Arno Bosse;Barbara McGillivray,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,biographical data;digital history;international collaboration;prosopographical models;semantic web,English,"archives, repositories, sustainability and preservation;data mining / text mining;data modeling and architecture including hypothesis-driven modeling;historical studies;history of humanities computing/digital humanities;linking and annotation;semantic web"
2825,2016 - Kraków,Digital Identities: the Past and the Future,2016-01-01T00:00:00Z,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,Poland,https://dh2016.adho.org/,Big Data: Complex Systems and Text Analysis,William (Bill) Kretzschmar;Allison Burkette;Jacqueline Hettel,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,big data;complex systems;text mining,English,corpora and corpus activities;data mining / text mining;data modeling and architecture including hypothesis-driven modeling;linguistics;stylistics and stylometry;text analysis
2826,2016 - Kraków,Digital Identities: the Past and the Future,2016-01-01T00:00:00Z,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,Poland,https://dh2016.adho.org/,HistoInformatics 2016,Marten Düring;Adam Jatowt;Antal van den Bosch;Johannes Preiser-Kapeller,workshop / tutorial,,This text is republished here with permission from the original rights holder.,computational history;computer science;historical disciplines;research methods,English,"agent modeling and simulation;audio, video, multimedia;authorship attribution / authority;bibliographic methods / textual studies;concording and indexing;content analysis;crowdsourcing;cultural infrastructure;data mining / text mining;data modeling and architecture including hypothesis-driven modeling;digitisation, resource creation, and discovery;digitisation - theory and practice;geospatial analysis, interfaces and technology;GLAM: galleries, libraries, archives, museums;image processing;information retrieval;interface and user experience design;internet / world wide web;knowledge representation;linking and annotation;maps and mapping;natural language processing;networks, relationships, graphs;programming;semantic analysis;semantic web;software design and development;spatio-temporal modeling, analysis and visualisation;speech processing;stylistics and stylometry;text analysis;visualization"
2829,2016 - Kraków,Digital Identities: the Past and the Future,2016-01-01T00:00:00Z,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,Poland,https://dh2016.adho.org/,Mining Texts with the Extracted Features Dataset,Peter Organisciak;J. Stephen Downie,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,datasets;large-scale collections;text analysis,English,data mining / text mining;text analysis
2832,2016 - Kraków,Digital Identities: the Past and the Future,2016-01-01T00:00:00Z,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,Poland,https://dh2016.adho.org/,View Source: Reading the Hidden Texts of the Web,Jeff Thompson,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,html;internet;javascript;reading,English,"archives, repositories, sustainability and preservation;concording and indexing;content analysis;corpora and corpus activities;cultural infrastructure;data mining / text mining;hypertext;information retrieval;interdisciplinary collaboration;internet / world wide web;media studies;programming;text analysis"
2837,2016 - Kraków,Digital Identities: the Past and the Future,2016-01-01T00:00:00Z,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,Poland,https://dh2016.adho.org/,Introduction to Natural Language Processing,Lauren Tilton;Taylor Arnold,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,corpus linguistics;natural language processing;programming;text analysis,English,authorship attribution / authority;content analysis;corpora and corpus activities;data mining / text mining;historical studies;linguistics;literary studies;multilingual / multicultural approaches;natural language processing;programming;semantic analysis;stylistics and stylometry;text analysis
2838,2016 - Kraków,Digital Identities: the Past and the Future,2016-01-01T00:00:00Z,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,Poland,https://dh2016.adho.org/,Visual network analysis with Gephi Workshop: Collective Interpretation of DH Communities Through Twitter Networks,Mathieu Jacomy;Martin Grandjean;Paul Girard,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,data visualisation;exploratory data analysis;gephi;interpretation;network,English,"content analysis;data mining / text mining;maps and mapping;networks, relationships, graphs;social media"
2844,2016 - Kraków,Digital Identities: the Past and the Future,2016-01-01T00:00:00Z,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,Poland,https://dh2016.adho.org/,Digital Literary Stylistics Workshop,J. Berenike Hermann;Francesca Frontini;Marissa Lynn Gemma,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,authorship attribution;corpus linguistics;digital literary studies;epistemology;methods;stylistics,English,"authorship attribution / authority;corpora and corpus activities;data mining / text mining;digitisation, resource creation, and discovery;encoding - theory and practice;english studies;french studies;genre-specific studies: prose, poetry, drama;german studies;linguistics;linking and annotation;literary studies;natural language processing;philology;programming;prosodic studies;query languages;rhetorical studies;semantic analysis;stylistics and stylometry;text analysis"
2846,2016 - Kraków,Digital Identities: the Past and the Future,2016-01-01T00:00:00Z,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,Poland,https://dh2016.adho.org/,From Digitization to Knowledge: Resources and Methods for Semantic Processing of Digital Works/Texts,Pierre Nugues;Lars Borin;Nathalie Fargier;Richard Johansson;Nils Reiter;Sara Tonelli,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,entity linking;framenets;semantic processing;text collections,English,"archives, repositories, sustainability and preservation;bibliographic methods / textual studies;content analysis;data mining / text mining;information retrieval;knowledge representation;linking and annotation;natural language processing;ontologies;semantic analysis"
2850,2016 - Kraków,Digital Identities: the Past and the Future,2016-01-01T00:00:00Z,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,Poland,https://dh2016.adho.org/,Topogram: a Web Toolkit for Spatio-Temporal Network Mapping,Clément Renaud;Grégory Bahde,workshop / tutorial,,This text is republished here with permission from the original rights holder.,data mining;geographical mapping;javascript;natural language processing;online software;python;social network analysis;time-based analysis;visualization,English,"content analysis;data mining / text mining;geospatial analysis, interfaces and technology;maps and mapping;networks, relationships, graphs;semantic analysis;social media;text analysis"
2851,2016 - Kraków,Digital Identities: the Past and the Future,2016-01-01T00:00:00Z,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,Poland,https://dh2016.adho.org/,Web Communities Mapping With Hyphe: How to use a curation-oriented web crawler to map communities?,Mathieu Jacomy;Paul Girard;Benjamin Ooghe-Tabanou,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,crawler;digital methods;network;online communities;web mining,English,"corpora and corpus activities;data mining / text mining;hypertext;internet / world wide web;media studies;networks, relationships, graphs"
2855,2016 - Kraków,Digital Identities: the Past and the Future,2016-01-01T00:00:00Z,ADHO,Jagiellonian University;Pedagogical University of Krakow,Kraków,Poland,https://dh2016.adho.org/,Data mining digital libraries,Lars Gunnarsønn Johnsen;Magnus Breder Birkenes;Arne Martinus Lindstad,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,classification;data mining;libraries;metadata;texts,English,bibliographic methods / textual studies;content analysis;corpora and corpus activities;data mining / text mining;lexicography;literary studies;text analysis
6258,2018 - Mexico City,Puentes/Bridges,2018-01-01T00:00:00Z,ADHO,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,Mexico,https://dh2018.adho.org/,Machine Reading Part II: Advanced Topics in Word Vectors,Eun Seo Jo;Javier de la Rosa Pérez;Scott Bailey;Fernando Sancho,workshop / tutorial,xml,Creative Commons Attribution 4.0 International,bias;text-mining;vectors;visualization;word embeddings,English,artificial intelligence and machine learning;computer science;cultural studies;data mining / text mining;english;linguistics;natural language processing;text analysis
6260,2018 - Mexico City,Puentes/Bridges,2018-01-01T00:00:00Z,ADHO,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,Mexico,https://dh2018.adho.org/,Building International Bridges Through Digital Scholarship: The Trans-Atlantic Platform Digging Into Data Challenge Experience / Construyendo lazos internacionales a través de becas digitales: La plataforma Trans – Atlántica descubriendo experiencias en desafió de datos,Elizabeth Tran;Crystal Sissons;Nicolas Parker;Mika Oehling,workshop / tutorial,xml,Creative Commons Attribution 4.0 International,big data;data mining;interdisciplinarity;international collaboration;trans-atlantic,Spanish,"archives, repositories, sustainability and preservation;cultural studies;databases & dbms;data mining / text mining;english;historical studies;library & information science;project design, organization, management"
6268,2018 - Mexico City,Puentes/Bridges,2018-01-01T00:00:00Z,ADHO,El Colegio de México;Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico),Mexico City,Mexico,https://dh2018.adho.org/,"The re-creation of Harry Potter: Tracing style and content across novels, movie scripts and fanfiction",Marco Büchler;Greta Franzini;Mike Kestemont;Enrique Manjavacas,workshop / tutorial,xml,Creative Commons Attribution 4.0 International,fanfiction;harry potter;j.k. rowling;stylometry;text reuse detection,English,computer science;data mining / text mining;english;english studies;literary studies;natural language processing;stylistics and stylometry;text analysis
7852,2015 - Sydney,Global Digital Humanities,2015-01-01T00:00:00Z,ADHO,Western Sydney University,Sydney,Australia,https://web.archive.org/web/20190121165412/http://dh2015.org/,Digital New Testament,Tim Finney;Claire Clivaz;Desmond Schmidt;Carlson Stephen,workshop / tutorial,xml,Creative Commons Attribution 4.0 International,collation algorithms;critical editions;new testament;phylogenetic analysis;simulation,English,"agent modeling and simulation;data mining / text mining;digitisation, resource creation, and discovery;english;networks, relationships, graphs;philology;programming;scholarly editing;theology;visualization"
7855,2015 - Sydney,Global Digital Humanities,2015-01-01T00:00:00Z,ADHO,Western Sydney University,Sydney,Australia,https://web.archive.org/web/20190121165412/http://dh2015.org/,Introduction To The TXM Content Analysis Software,Serge Heiden,workshop / tutorial,xml,Creative Commons Attribution 4.0 International,nlp;tei;text analysis;txm;xml,English,concording and indexing;content analysis;corpora and corpus activities;data mining / text mining;encoding - theory and practice;english;natural language processing;text analysis;visualization;xml
7859,2015 - Sydney,Global Digital Humanities,2015-01-01T00:00:00Z,ADHO,Western Sydney University,Sydney,Australia,https://web.archive.org/web/20190121165412/http://dh2015.org/,Visualizing Data for Digital humanities Producing Semantic Maps with Information extracted from Corpora and other Media,Thierry Poibeau,workshop / tutorial,xml,Creative Commons Attribution 4.0 International,text mining;visualization,English,"data mining / text mining;data modeling and architecture including hypothesis-driven modeling;digitisation, resource creation, and discovery;english;linguistics;linking and annotation;multilingual / multicultural approaches;natural language processing;ontologies;scholarly editing;semantic analysis;semantic web;social media;text analysis;visualization"
7862,2015 - Sydney,Global Digital Humanities,2015-01-01T00:00:00Z,ADHO,Western Sydney University,Sydney,Australia,https://web.archive.org/web/20190121165412/http://dh2015.org/,"Voyant Tools 2.0: The New, The Neat & the Gnarly",Stéfan Sinclair;Geoffrey Rockwell,workshop / tutorial,xml,Creative Commons Attribution 4.0 International,text analysis;voyant,English,data mining / text mining;english;text analysis
9816,2019 - Utrecht,Complexities,2019-01-01T00:00:00Z,ADHO,Utrecht University,Utrecht,Netherlands,http://staticweb.hum.uu.nl/dh2019/dh2019.adho.org/index.html,Named Entity Processing for Digital Humanities,Maud Ehrmann;Matteo Romanello;Simon Clematide,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,hands-on;historical texts;information extraction;named entity processing,English,computer science and informatics;content analysis;data mining / text mining;english;linguistics;linking and annotation;natural language processing
9857,2019 - Utrecht,Complexities,2019-01-01T00:00:00Z,ADHO,Utrecht University,Utrecht,Netherlands,http://staticweb.hum.uu.nl/dh2019/dh2019.adho.org/index.html,Pre-Conference Workshop “DLS Tool Criticism. An Anatomy of Use Cases”,J. Berenike Herrmann;Francesca Frontini;Simone Rebora;Jan Rybicki;Anne-Sophie Bories,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,literary studies;methodology;stylistics;text analysis;tool criticism,English,"corpus and text analysis;data mining / text mining;digital humanities (history, theory and methodology);english;literary studies;natural language processing;stylistics and stylometry"
10150,2019 - Utrecht,Complexities,2019-01-01T00:00:00Z,ADHO,Utrecht University,Utrecht,Netherlands,http://staticweb.hum.uu.nl/dh2019/dh2019.adho.org/index.html,Materia on the Move: Trade & Colonisation of Collections - Digital Studies in Provenance,Kalliopi Zervanou;Toine Pieters,workshop / tutorial,xml,This text is republished here with permission from the original rights holder.,historical information modelling;historical text processing;linked data;metadata,English,"archives, repositories, sustainability and preservation;data mining / text mining;digital humanities (history, theory and methodology);digital research infrastructures and virtual research environments;english;GLAM: galleries, libraries, archives, museums;history of science;spatial & spatio-temporal analysis, modeling and visualization"
